Date Time, Water Level, Sigma, I, L 
1999-01-01 00:00,-0.604,0.098,0,0
1999-01-01 01:00,-1.125,0.075,0,0
1999-01-01 02:00,-0.814,0.072,0,0
1999-01-01 03:00,0.617,0.079,0,0
1999-01-01 04:00,2.228,0.043,0,0
1999-01-01 05:00,3.622,0.039,0,0
1999-01-01 06:00,4.436,0.030,0,0
1999-01-01 07:00,4.997,0.030,0,0
1999-01-01 08:00,4.760,0.059,0,0
1999-01-01 09:00,3.606,0.043,0,0
1999-01-01 10:00,2.146,0.108,0,0
1999-01-01 11:00,0.820,0.102,0,0
1999-01-01 12:00,-0.436,0.108,0,0
1999-01-01 13:00,-1.558,0.125,0,0
1999-01-01 14:00,-2.159,0.072,0,0
1999-01-01 15:00,-1.591,0.085,0,0
1999-01-01 16:00,-0.092,0.108,0,0
1999-01-01 17:00,1.335,0.069,0,0
1999-01-01 18:00,2.454,0.062,0,0
1999-01-01 19:00,3.219,0.072,0,0
1999-01-01 20:00,3.360,0.043,0,0
1999-01-01 21:00,2.746,0.098,0,0
1999-01-01 22:00,1.447,0.039,0,0
1999-01-01 23:00,0.026,0.033,0,0
1999-01-02 00:00,-1.010,0.026,0,0
1999-01-02 01:00,-1.755,0.026,0,0
1999-01-02 02:00,-2.136,0.026,0,0
1999-01-02 03:00,-1.247,0.066,0,0
1999-01-02 04:00,0.433,0.039,0,0
1999-01-02 05:00,2.123,0.033,0,0
1999-01-02 06:00,3.501,0.023,0,0
1999-01-02 07:00,4.459,0.016,0,0
1999-01-02 08:00,4.954,0.036,0,0
1999-01-02 09:00,4.895,0.039,0,0
1999-01-02 10:00,3.875,0.033,0,0
1999-01-02 11:00,2.267,0.144,0,0
1999-01-02 12:00,0.741,0.092,0,0
1999-01-02 13:00,-0.335,0.102,0,0
1999-01-02 14:00,-1.240,0.095,0,0
1999-01-02 15:00,-1.480,0.171,0,0
1999-01-02 16:00,-0.499,0.075,0,0
1999-01-02 17:00,1.276,0.079,0,0
1999-01-02 18:00,2.703,0.062,0,0
1999-01-02 19:00,3.986,0.085,0,0
1999-01-02 20:00,4.596,0.052,0,0
1999-01-02 21:00,4.469,0.079,0,0
1999-01-02 22:00,3.714,0.089,0,0
1999-01-02 23:00,2.411,0.039,0,0
1999-01-03 00:00,1.260,0.052,0,0
1999-01-03 01:00,0.623,0.036,0,0
1999-01-03 02:00,0.013,0.036,0,0
1999-01-03 03:00,0.023,0.036,0,0
1999-01-03 04:00,0.906,,0,0
1999-01-03 05:00,2.612,,0,0
1999-01-03 06:00,4.255,,0,0
1999-01-03 07:00,5.535,0.056,0,0
1999-01-03 08:00,6.388,0.056,0,0
1999-01-03 09:00,7.077,0.069,0,0
1999-01-03 10:00,7.198,0.069,0,0
1999-01-03 11:00,5.869,0.079,0,0
1999-01-03 12:00,4.140,0.121,0,0
1999-01-03 13:00,2.582,0.105,0,0
1999-01-03 14:00,1.677,0.112,0,0
1999-01-03 15:00,0.837,0.102,0,0
1999-01-03 16:00,0.466,0.072,0,0
1999-01-03 17:00,0.725,0.082,0,0
1999-01-03 18:00,2.159,0.062,0,0
1999-01-03 19:00,3.734,0.085,0,0
1999-01-03 20:00,4.948,0.059,0,0
1999-01-03 21:00,5.148,0.056,0,0
1999-01-03 22:00,4.777,0.049,0,0
1999-01-03 23:00,3.707,0.033,0,0
1999-01-04 00:00,2.461,0.033,0,0
1999-01-04 01:00,1.417,0.043,0,0
1999-01-04 02:00,0.587,0.046,0,0
1999-01-04 03:00,-0.348,0.075,0,0
1999-01-04 04:00,-0.722,0.062,0,0
1999-01-04 05:00,-0.187,0.059,0,0
1999-01-04 06:00,1.188,0.046,0,0
1999-01-04 07:00,2.546,0.141,0,0
1999-01-04 08:00,3.652,0.121,0,0
1999-01-04 09:00,4.429,0.131,0,0
1999-01-04 10:00,4.646,0.138,0,0
1999-01-04 11:00,4.173,0.125,0,0
1999-01-04 12:00,2.867,0.180,0,0
1999-01-04 13:00,1.509,0.059,0,0
1999-01-04 14:00,0.236,0.105,0,0
1999-01-04 15:00,-0.791,0.115,0,0
1999-01-04 16:00,-1.506,0.115,0,0
1999-01-04 17:00,-1.371,0.164,0,0
1999-01-04 18:00,-0.161,0.125,0,0
1999-01-04 19:00,1.165,0.075,0,0
1999-01-04 20:00,2.205,0.069,0,0
1999-01-04 21:00,2.949,0.052,0,0
1999-01-04 22:00,3.406,0.082,0,0
1999-01-04 23:00,3.507,0.056,0,0
1999-01-05 00:00,2.766,0.118,0,0
1999-01-05 01:00,1.611,0.023,0,0
1999-01-05 02:00,0.492,0.049,0,0
1999-01-05 03:00,-0.354,0.062,0,0
1999-01-05 04:00,-1.115,0.043,0,0
1999-01-05 05:00,-1.260,0.033,0,0
1999-01-05 06:00,-0.072,0.036,0,0
1999-01-05 07:00,1.598,0.118,0,0
1999-01-05 08:00,3.002,0.092,0,0
1999-01-05 09:00,3.825,0.092,0,0
1999-01-05 10:00,4.259,0.128,0,0
1999-01-05 11:00,4.373,0.128,0,0
1999-01-05 12:00,3.770,0.062,0,0
1999-01-05 13:00,2.625,0.131,0,0
1999-01-05 14:00,1.302,0.098,0,0
1999-01-05 15:00,0.167,0.072,0,0
1999-01-05 16:00,-0.702,0.079,0,0
1999-01-05 17:00,-1.112,0.171,0,0
1999-01-05 18:00,-0.466,0.177,0,0
1999-01-05 19:00,0.876,0.066,0,0
1999-01-05 20:00,2.146,0.095,0,0
1999-01-05 21:00,3.146,0.043,0,0
1999-01-05 22:00,3.698,0.059,0,0
