#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2020 01 01 00 00 999 99.0 99.0  1.81  9.88  7.06  92 9999.0 999.0   9.6 999.0 99.0 99.00
2020 01 01 00 30 999 99.0 99.0  1.55  9.09  6.10  95 9999.0 999.0   9.6 999.0 99.0 99.00
2020 01 01 01 00 999 99.0 99.0  1.61  9.09  6.27  93 9999.0 999.0   9.6 999.0 99.0 99.00
2020 01 01 01 30 999 99.0 99.0  1.56  9.88  5.93  89 9999.0 999.0   9.6 999.0 99.0 99.00
2020 01 01 02 00 999 99.0 99.0  1.58  9.88  5.76  92 9999.0 999.0   9.6 999.0 99.0 99.00
2020 01 01 02 30 999 99.0 99.0  1.55  9.88  5.38  92 9999.0 999.0   9.6 999.0 99.0 99.00
2020 01 01 03 00 999 99.0 99.0  1.62  9.88  5.76  84 9999.0 999.0   9.6 999.0 99.0 99.00
2020 01 01 03 30 999 99.0 99.0  1.63  9.88  5.52  92 9999.0 999.0   9.7 999.0 99.0 99.00
2020 01 01 04 00 999 99.0 99.0  1.54  9.09  5.26  91 9999.0 999.0   9.7 999.0 99.0 99.00
2020 01 01 04 30 999 99.0 99.0  1.63  9.88  5.67  95 9999.0 999.0   9.7 999.0 99.0 99.00
2020 01 01 05 00 999 99.0 99.0  1.47  9.88  5.16  91 9999.0 999.0   9.7 999.0 99.0 99.00
2020 01 01 05 30 999 99.0 99.0  1.43  9.88  5.03  96 9999.0 999.0   9.7 999.0 99.0 99.00
2020 01 01 06 00 999 99.0 99.0  1.38  9.88  4.69  95 9999.0 999.0   9.7 999.0 99.0 99.00
2020 01 01 06 30 999 99.0 99.0  1.46  9.88  4.83  93 9999.0 999.0   9.7 999.0 99.0 99.00
2020 01 01 07 00 999 99.0 99.0  1.50  9.88  4.99  93 9999.0 999.0   9.6 999.0 99.0 99.00
2020 01 01 07 30 999 99.0 99.0  1.43  9.88  4.82 102 9999.0 999.0   9.6 999.0 99.0 99.00
2020 01 01 08 00 999 99.0 99.0  1.41  9.09  4.67  99 9999.0 999.0   9.7 999.0 99.0 99.00
