#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2015 01 01 00 21 999 99.0 99.0  0.82  3.45  3.12 258 9999.0 999.0   9.2 999.0 99.0 99.00
2015 01 01 00 51 999 99.0 99.0  0.84  3.57  3.26 254 9999.0 999.0   9.3 999.0 99.0 99.00
2015 01 01 01 21 999 99.0 99.0  0.79  3.45  3.19 262 9999.0 999.0   9.2 999.0 99.0 99.00
2015 01 01 01 51 999 99.0 99.0  0.75  3.57  3.18 243 9999.0 999.0   9.2 999.0 99.0 99.00
2015 01 01 02 21 999 99.0 99.0  0.75  3.85  3.21 230 9999.0 999.0   9.2 999.0 99.0 99.00
2015 01 01 02 51 999 99.0 99.0  0.81  4.00  3.27 220 9999.0 999.0   9.2 999.0 99.0 99.00
2015 01 01 03 21 999 99.0 99.0  0.82  3.70  3.29 228 9999.0 999.0   9.2 999.0 99.0 99.00
2015 01 01 03 51 999 99.0 99.0  0.83  4.00  3.30 227 9999.0 999.0   9.2 999.0 99.0 99.00
2015 01 01 04 21 999 99.0 99.0  0.85  4.00  3.30 224 9999.0 999.0   9.2 999.0 99.0 99.00
2015 01 01 04 51 999 99.0 99.0  1.03  4.00  3.49 227 9999.0 999.0   9.2 999.0 99.0 99.00
2015 01 01 05 21 999 99.0 99.0  1.08  4.00  3.61 226 9999.0 999.0   9.2 999.0 99.0 99.00
2015 01 01 05 51 999 99.0 99.0  1.18  4.55  3.72 223 9999.0 999.0   9.2 999.0 99.0 99.00
2015 01 01 06 21 999 99.0 99.0  1.22  4.76  3.78 223 9999.0 999.0   9.2 999.0 99.0 99.00
2015 01 01 06 51 999 99.0 99.0  1.21  4.76  3.72 223 9999.0 999.0   9.2 999.0 99.0 99.00
2015 01 01 07 21 999 99.0 99.0  1.34  4.76  3.84 220 9999.0 999.0   9.1 999.0 99.0 99.00
2015 01 01 07 51 999 99.0 99.0  1.33  4.76  3.80 223 9999.0 999.0   9.1 999.0 99.0 99.00
2015 01 01 08 21 999 99.0 99.0  1.41  5.26  3.94 214 9999.0 999.0   9.1 999.0 99.0 99.00
2015 01 01 08 51 999 99.0 99.0  1.50  5.00  4.01 216 9999.0 999.0   9.1 999.0 99.0 99.00
2015 01 01 09 21 999 99.0 99.0  1.45  5.26  3.95 216 9999.0 999.0   9.1 999.0 99.0 99.00
2015 01 01 09 51 999 99.0 99.0  1.56  5.00  4.03 219 9999.0 999.0   9.0 999.0 99.0 99.00
2015 01 01 10 21 999 99.0 99.0  1.52  5.26  3.94 220 9999.0 999.0   9.0 999.0 99.0 99.00
2015 01 01 10 51 999 99.0 99.0  1.54  5.00  3.95 219 9999.0 999.0   9.0 999.0 99.0 99.00
2015 01 01 11 21 999 99.0 99.0  1.52  5.00  3.92 219 9999.0 999.0   8.9 999.0 99.0 99.00
2015 01 01 11 51 999 99.0 99.0  1.41  5.00  3.84 217 9999.0 999.0   8.9 999.0 99.0 99.00
2015 01 01 12 21 999 99.0 99.0  1.47  5.26  3.90 216 9999.0 999.0   8.9 999.0 99.0 99.00
2015 01 01 12 51 999 99.0 99.0  1.50  5.26  4.00 217 9999.0 999.0   8.9 999.0 99.0 99.00
2015 01 01 13 21 999 99.0 99.0  1.36  5.00  3.87 213 9999.0 999.0   8.8 999.0 99.0 99.00
2015 01 01 13 51 999 99.0 99.0  1.36  5.00  3.83 216 9999.0 999.0   8.8 999.0 99.0 99.00
2015 01 01 14 21 999 99.0 99.0  1.20  5.00  3.72 213 9999.0 999.0   8.8 999.0 99.0 99.00
2015 01 01 14 51 999 99.0 99.0  1.23  5.26  3.80 213 9999.0 999.0   8.8 999.0 99.0 99.00
2015 01 01 15 21 999 99.0 99.0  1.19  4.55  3.70 221 9999.0 999.0   8.8 999.0 99.0 99.00
2015 01 01 15 51 999 99.0 99.0  1.17  4.76  3.66 216 9999.0 999.0   8.8 999.0 99.0 99.00
2015 01 01 16 21 999 99.0 99.0  1.19  4.76  3.69 214 9999.0 999.0   8.8 999.0 99.0 99.00
2015 01 01 16 51 999 99.0 99.0  1.24  4.55  3.67 217 9999.0 999.0   8.8 999.0 99.0 99.00
2015 01 01 17 21 999 99.0 99.0  1.28  4.35  3.71 216 9999.0 999.0   8.8 999.0 99.0 99.00
2015 01 01 17 51 999 99.0 99.0  1.30  4.76  3.75 216 9999.0 999.0   8.8 999.0 99.0 99.00
2015 01 01 18 21 999 99.0 99.0  1.30  4.76  3.83 220 9999.0 999.0   8.8 999.0 99.0 99.00
2015 01 01 18 51 999 99.0 99.0  1.36  4.35  3.90 224 9999.0 999.0   8.8 999.0 99.0 99.00
2015 01 01 19 21 999 99.0 99.0  1.36  5.00  3.86 213 9999.0 999.0   8.8 999.0 99.0 99.00
2015 01 01 19 51 999 99.0 99.0  1.49  5.00  4.05 212 9999.0 999.0   8.8 999.0 99.0 99.00
2015 01 01 20 21 999 99.0 99.0  1.49  5.00  4.08 213 9999.0 999.0   8.8 999.0 99.0 99.00
2015 01 01 20 51 999 99.0 99.0  1.61  5.56  4.20 209 9999.0 999.0   8.8 999.0 99.0 99.00
2015 01 01 21 21 999 99.0 99.0  1.51  5.26  4.13 207 9999.0 999.0   8.8 999.0 99.0 99.00
2015 01 01 21 51 999 99.0 99.0  1.47  5.00  4.07 212 9999.0 999.0   8.8 999.0 99.0 99.00
2015 01 01 22 21 999 99.0 99.0  1.53  5.00  4.18 209 9999.0 999.0   8.8 999.0 99.0 99.00
2015 01 01 22 51 999 99.0 99.0  1.57  5.56  4.24 207 9999.0 999.0   8.8 999.0 99.0 99.00
2015 01 01 23 21 999 99.0 99.0  1.62  5.26  4.32 210 9999.0 999.0   8.8 999.0 99.0 99.00
2015 01 01 23 51 999 99.0 99.0  1.62  5.56  4.32 203 9999.0 999.0   8.7 999.0 99.0 99.00
2015 01 02 00 21 999 99.0 99.0  1.58  5.26  4.30 213 9999.0 999.0   8.7 999.0 99.0 99.00
2015 01 02 00 51 999 99.0 99.0  1.48  5.26  4.17 207 9999.0 999.0   8.7 999.0 99.0 99.00
2015 01 02 01 21 999 99.0 99.0  1.56  5.88  4.31 200 9999.0 999.0   8.7 999.0 99.0 99.00
2015 01 02 01 51 999 99.0 99.0  1.55  5.26  4.28 209 9999.0 999.0   8.7 999.0 99.0 99.00
2015 01 02 02 21 999 99.0 99.0  1.59  5.56  4.37 205 9999.0 999.0   8.7 999.0 99.0 99.00
2015 01 02 02 51 999 99.0 99.0  1.67  5.56  4.42 206 9999.0 999.0   8.7 999.0 99.0 99.00
2015 01 02 03 21 999 99.0 99.0  1.77  5.56  4.47 205 9999.0 999.0   8.7 999.0 99.0 99.00
2015 01 02 03 51 999 99.0 99.0  1.61  5.88  4.42 203 9999.0 999.0   8.5 999.0 99.0 99.00
2015 01 02 04 21 999 99.0 99.0  1.66  5.88  4.42 202 9999.0 999.0   8.2 999.0 99.0 99.00
2015 01 02 04 51 999 99.0 99.0  1.63  5.88  4.36 203 9999.0 999.0   7.9 999.0 99.0 99.00
2015 01 02 05 21 999 99.0 99.0  1.67  5.88  4.47 202 9999.0 999.0   7.9 999.0 99.0 99.00
2015 01 02 05 51 999 99.0 99.0  1.63  6.25  4.45 199 9999.0 999.0   7.8 999.0 99.0 99.00
2015 01 02 06 21 999 99.0 99.0  1.54  6.25  4.49 198 9999.0 999.0   7.7 999.0 99.0 99.00
2015 01 02 06 51 999 99.0 99.0  1.46  6.25  4.44 200 9999.0 999.0   7.7 999.0 99.0 99.00
2015 01 02 07 21 999 99.0 99.0  1.62  5.88  4.67 199 9999.0 999.0   7.7 999.0 99.0 99.00
2015 01 02 07 51 999 99.0 99.0  1.51  6.25  4.63 193 9999.0 999.0   7.6 999.0 99.0 99.00
2015 01 02 08 21 999 99.0 99.0  1.43  6.67  4.71 182 9999.0 999.0   7.4 999.0 99.0 99.00
2015 01 02 08 51 999 99.0 99.0  1.38  6.25  4.63 195 9999.0 999.0   7.4 999.0 99.0 99.00
2015 01 02 09 21 999 99.0 99.0  1.39  5.56  4.49 191 9999.0 999.0   7.4 999.0 99.0 99.00
2015 01 02 09 51 999 99.0 99.0  1.41  6.25  4.49 192 9999.0 999.0   7.5 999.0 99.0 99.00
2015 01 02 10 21 999 99.0 99.0  1.36  6.25  4.42 192 9999.0 999.0   7.1 999.0 99.0 99.00
2015 01 02 10 51 999 99.0 99.0  1.42  6.25  4.41 192 9999.0 999.0   7.1 999.0 99.0 99.00
2015 01 02 11 21 999 99.0 99.0  1.32  5.56  4.38 199 9999.0 999.0   7.2 999.0 99.0 99.00
2015 01 02 11 51 999 99.0 99.0  1.33  5.88  4.21 192 9999.0 999.0   7.1 999.0 99.0 99.00
2015 01 02 12 21 999 99.0 99.0  1.33  5.88  4.16 196 9999.0 999.0   7.2 999.0 99.0 99.00
