Date Time, Water Level, Sigma, I, L 
2020-01-01 00:00,4.887,0.023,0,0
2020-01-01 01:00,4.651,0.033,0,0
2020-01-01 02:00,3.706,0.046,0,0
2020-01-01 03:00,2.561,0.043,0,0
2020-01-01 04:00,1.813,0.023,0,0
2020-01-01 05:00,1.456,0.075,0,0
2020-01-01 06:00,1.400,0.030,0,0
2020-01-01 07:00,1.797,0.026,0,0
2020-01-01 08:00,2.460,0.026,0,0
2020-01-01 09:00,3.214,0.039,0,0
2020-01-01 10:00,3.710,0.039,0,0
2020-01-01 11:00,4.120,0.033,0,0
2020-01-01 12:00,4.402,0.033,0,0
2020-01-01 13:00,4.284,0.033,0,0
2020-01-01 14:00,3.483,0.059,0,0
2020-01-01 15:00,2.391,0.043,0,0
2020-01-01 16:00,1.393,0.036,0,0
2020-01-01 17:00,0.829,0.026,0,0
2020-01-01 18:00,0.626,0.023,0,0
2020-01-01 19:00,0.803,0.030,0,0
2020-01-01 20:00,1.236,0.030,0,0
2020-01-01 21:00,1.974,0.030,0,0
2020-01-01 22:00,2.742,0.030,0,0
2020-01-01 23:00,3.542,0.023,0,0
2020-01-02 00:00,4.307,0.026,0,0
2020-01-02 01:00,4.474,0.026,0,0
2020-01-02 02:00,3.929,0.039,0,0
2020-01-02 03:00,3.021,0.033,0,0
2020-01-02 04:00,2.086,0.026,0,0
2020-01-02 05:00,1.623,0.020,0,0
2020-01-02 06:00,1.364,0.030,0,0
2020-01-02 07:00,1.321,0.036,0,0
2020-01-02 08:00,1.715,0.030,0,0
2020-01-02 09:00,2.453,0.023,0,0
2020-01-02 10:00,3.280,0.023,0,0
2020-01-02 11:00,3.877,0.020,0,0
2020-01-02 12:00,4.323,0.016,0,0
2020-01-02 13:00,4.540,0.016,0,0
2020-01-02 14:00,4.264,0.026,0,0
2020-01-02 15:00,3.391,0.056,0,0
2020-01-02 16:00,2.522,0.052,0,0
2020-01-02 17:00,1.991,0.033,0,0
2020-01-02 18:00,1.544,0.016,0,0
2020-01-02 19:00,1.384,0.016,0,0
2020-01-02 20:00,1.528,0.023,0,0
2020-01-02 21:00,1.908,0.023,0,0
2020-01-02 22:00,2.634,0.036,0,0
2020-01-02 23:00,3.647,0.033,0,0
2020-01-03 00:00,4.694,0.023,0,0
2020-01-03 01:00,5.052,0.020,0,0
2020-01-03 02:00,4.832,0.039,0,0
2020-01-03 03:00,4.041,0.036,0,0
2020-01-03 04:00,3.198,0.033,0,0
2020-01-03 05:00,2.643,0.030,0,0
2020-01-03 06:00,2.299,0.026,0,0
2020-01-03 07:00,2.050,0.033,0,0
2020-01-03 08:00,1.794,0.033,0,0
2020-01-03 09:00,2.151,0.020,0,0
2020-01-03 10:00,2.840,0.016,0,0
2020-01-03 11:00,3.657,0.033,0,0
2020-01-03 12:00,4.199,0.016,0,0
2020-01-03 13:00,4.579,0.020,0,0
2020-01-03 14:00,4.461,0.020,0,0
2020-01-03 15:00,4.002,0.023,0,0
2020-01-03 16:00,3.401,0.023,0,0
2020-01-03 17:00,2.834,0.023,0,0
2020-01-03 18:00,2.204,0.030,0,0
2020-01-03 19:00,1.754,0.020,0,0
2020-01-03 20:00,1.551,0.026,0,0
2020-01-03 21:00,1.804,0.010,0,0
2020-01-03 22:00,2.578,0.049,0,0
2020-01-03 23:00,3.621,0.026,0,0
2020-01-04 00:00,4.550,0.023,0,0
2020-01-04 01:00,5.071,0.013,0,0
2020-01-04 02:00,5.239,0.013,0,0
2020-01-04 03:00,4.996,0.023,0,0
2020-01-04 04:00,4.533,0.036,0,0
2020-01-04 05:00,3.910,0.033,0,0
2020-01-04 06:00,3.165,0.049,0,0
2020-01-04 07:00,2.492,0.030,0,0
2020-01-04 08:00,2.204,0.016,0,0
2020-01-04 09:00,2.325,0.026,0,0
2020-01-04 10:00,2.765,0.020,0,0
2020-01-04 11:00,3.293,0.020,0,0
2020-01-04 12:00,3.959,0.016,0,0
2020-01-04 13:00,4.448,0.010,0,0
2020-01-04 14:00,4.786,0.013,0,0
2020-01-04 15:00,4.694,0.046,0,0
2020-01-04 16:00,4.349,0.030,0,0
2020-01-04 17:00,3.477,0.039,0,0
2020-01-04 18:00,2.830,0.033,0,0
2020-01-04 19:00,2.076,0.026,0,0
2020-01-04 20:00,1.607,0.043,0,0
2020-01-04 21:00,1.338,0.085,0,0
2020-01-04 22:00,1.748,0.056,0,0
2020-01-04 23:00,2.555,0.039,0,0
2020-01-05 00:00,3.674,0.036,0,0
2020-01-05 01:00,4.244,0.036,0,0
2020-01-05 02:00,4.428,0.033,0,0
2020-01-05 03:00,4.281,0.039,0,0
2020-01-05 04:00,3.946,0.039,0,0
2020-01-05 05:00,3.513,0.049,0,0
2020-01-05 06:00,2.975,0.052,0,0
2020-01-05 07:00,2.171,0.098,0,0
2020-01-05 08:00,1.338,0.036,0,0
2020-01-05 09:00,0.780,0.039,0,0
2020-01-05 10:00,0.642,0.052,0,0
2020-01-05 11:00,1.213,0.056,0,0
2020-01-05 12:00,1.928,0.049,0,0
2020-01-05 13:00,2.666,0.030,0,0
2020-01-05 14:00,3.172,0.030,0,0
2020-01-05 15:00,3.533,0.039,0,0
2020-01-05 16:00,3.542,0.033,0,0
2020-01-05 17:00,3.162,0.052,0,0
2020-01-05 18:00,2.584,0.033,0,0
2020-01-05 19:00,1.804,0.030,0,0
2020-01-05 20:00,0.977,0.046,0,0
2020-01-05 21:00,0.432,0.043,0,0
2020-01-05 22:00,0.432,0.030,0,0
2020-01-05 23:00,1.242,0.026,0,0
2020-01-06 00:00,2.515,0.075,0,0
2020-01-06 01:00,3.792,0.043,0,0
2020-01-06 02:00,4.491,0.036,0,0
2020-01-06 03:00,4.940,0.023,0,0
2020-01-06 04:00,5.094,0.030,0,0
2020-01-06 05:00,4.825,0.043,0,0
2020-01-06 06:00,4.258,0.036,0,0
2020-01-06 07:00,3.582,0.033,0,0
2020-01-06 08:00,2.965,0.036,0,0
2020-01-06 09:00,2.283,0.030,0,0
2020-01-06 10:00,1.669,0.049,0,0
2020-01-06 11:00,1.475,0.026,0,0
2020-01-06 12:00,1.738,0.033,0,0
2020-01-06 13:00,2.391,0.036,0,0
2020-01-06 14:00,3.158,0.036,0,0
2020-01-06 15:00,3.903,0.043,0,0
2020-01-06 16:00,4.389,0.030,0,0
2020-01-06 17:00,4.441,0.020,0,0
2020-01-06 18:00,3.890,0.043,0,0
2020-01-06 19:00,3.017,0.046,0,0
2020-01-06 20:00,1.859,0.118,0,0
2020-01-06 21:00,1.016,0.036,0,0
2020-01-06 22:00,0.560,0.033,0,0
2020-01-06 23:00,0.750,0.023,0,0
2020-01-07 00:00,1.534,0.039,0,0
2020-01-07 01:00,2.624,0.043,0,0
2020-01-07 02:00,3.677,0.039,0,0
2020-01-07 03:00,4.438,0.030,0,0
2020-01-07 04:00,4.953,0.036,0,0
2020-01-07 05:00,5.150,0.043,0,0
2020-01-07 06:00,4.796,0.046,0,0
2020-01-07 07:00,3.962,0.046,0,0
2020-01-07 08:00,2.965,0.036,0,0
2020-01-07 09:00,2.168,0.036,0,0
2020-01-07 10:00,1.446,0.033,0,0
2020-01-07 11:00,1.006,0.016,0,0
2020-01-07 12:00,1.052,0.030,0,0
