Sed. Depth from Surface (in),>1 mm (g),0.5 - 1 mm (g),0.25 - 0.5 mm,0.1 - 0.25 mm(g),.063 mm - 0.1 mm (g),<0.063 mm (g)
0,6.629,7.116,8.951,0.971,0.08,0.021
2,2.864,6.423,7.505,0.604,0.052,0.09
4,2.726,6.221,6.556,0.323,0.02,0.001
6,0.311,7.259,11.928,0.446,0.019,0.003
8,0.018,9.254,14.42,0.192,0.009,0.001
10,0.159,6.748,14.103,0.424,0.005,0.001
12,0.943,10.071,5.029,0.066,0.001,0.001
14,0.255,8.152,4.83,0.06,0.001,0.001
16,1.223,17.002,13.138,0.145,0.006,0.003
18,0.634,8.29,12.576,0.244,0.007,0.001
20,0.803,2.17,11.655,0.987,0.01,0.003
22,0.605,2.286,14.241,1.105,0.013,0.002
24,0.046,2.511,16.593,1.381,0.012,0.001
26,0.235,4.92,18.319,2.162,0.019,0.001
28,0.115,9.053,15.925,3.009,0.065,0.005
30,11.773,2.252,0.331,0.073,0.016,0.002
32,23.319,0.957,0.143,0.085,0.045,0.003
34,14.916,2.944,0.244,0.036,0.006,0.001
